canonical_label,citizen_raw_gloss,citizen_asl_lex_code,lexical_tier,clips,top1_hits,top5_hits,mean_true_probability,triage,training_approved
ANGRY,ANGRY,B_01_070,canonical_and_pinned_raw_text_equal,10,5,8,0.3681662850547582,model_consistent_manual_variant_review_required,False
ANSWER,ANSWER,E_03_065,canonical_and_pinned_raw_text_equal,14,3,11,0.1685984232296635,ambiguous_manual_variant_review_required,False
ASK,ASK,B_02_023,canonical_and_pinned_raw_text_equal,14,3,10,0.11999684615459826,ambiguous_manual_variant_review_required,False
BAD,BAD,B_02_082,canonical_and_pinned_raw_text_equal,14,11,14,0.5773156684424195,model_consistent_manual_variant_review_required,False
BIG,BIG,F_02_054,canonical_and_pinned_raw_text_equal,9,2,6,0.13955290456942748,ambiguous_manual_variant_review_required,False
CHILD,CHILD,F_03_101,canonical_and_pinned_raw_text_equal,14,8,10,0.41738573036023546,ambiguous_manual_variant_review_required,False
COLD,COLD,C_02_068,canonical_and_pinned_raw_text_equal,14,10,13,0.45299191613282475,model_consistent_manual_variant_review_required,False
COME,COME,C_03_074,canonical_and_pinned_raw_text_equal,14,1,4,0.02028448282674487,high_risk_manual_variant_review_required,False
DAY,DAY,C_01_044,canonical_and_pinned_raw_text_equal,14,12,14,0.7036889331149203,model_consistent_manual_variant_review_required,False
DIFFERENT,DIFFERENT,E_03_095,canonical_and_pinned_raw_text_equal,8,6,8,0.5686896592378616,model_consistent_manual_variant_review_required,False
EASY,EASY,D_01_070,canonical_and_pinned_raw_text_equal,11,10,11,0.6478942415931008,model_consistent_manual_variant_review_required,False
EXCITED,EXCITED,H_01_102,canonical_and_pinned_raw_text_equal,10,10,10,0.579776008427143,model_consistent_manual_variant_review_required,False
FAMILY,FAMILY,C_01_025,canonical_and_pinned_raw_text_equal,14,14,14,0.7600263357162476,model_consistent_manual_variant_review_required,False
FATHER,FATHER,B_01_077,canonical_and_pinned_raw_text_equal,14,8,14,0.3774676847138575,model_consistent_manual_variant_review_required,False
FEEL,FEEL,C_02_001,canonical_and_pinned_raw_text_equal,14,6,11,0.27332627005359555,ambiguous_manual_variant_review_required,False
FRIEND,FRIEND,D_03_010,canonical_and_pinned_raw_text_equal,14,3,9,0.23804911322492575,ambiguous_manual_variant_review_required,False
GIVE,GIVE,F_01_023,canonical_and_pinned_raw_text_equal,14,6,11,0.23545101406385324,ambiguous_manual_variant_review_required,False
GO,GO,C_03_056,canonical_and_pinned_raw_text_equal,14,1,11,0.08207068272999354,ambiguous_manual_variant_review_required,False
GOOD,GOOD,B_01_052,canonical_and_pinned_raw_text_equal,10,2,7,0.10984405458439142,ambiguous_manual_variant_review_required,False
HAPPY,HAPPY,C_03_078,canonical_and_pinned_raw_text_equal,12,2,7,0.14189630871017775,ambiguous_manual_variant_review_required,False
HELLO,HELLO,D_02_055,canonical_and_pinned_raw_text_equal,14,5,14,0.26491165560271057,ambiguous_manual_variant_review_required,False
HELP,HELP,D_01_042,canonical_and_pinned_raw_text_equal,14,3,11,0.14956648967095784,ambiguous_manual_variant_review_required,False
HOT,HOT,F_02_093,canonical_and_pinned_raw_text_equal,12,6,7,0.3962968438354437,ambiguous_manual_variant_review_required,False
IMPORTANT,IMPORTANT,B_01_081,canonical_and_pinned_raw_text_equal,14,14,14,0.762418093425887,model_consistent_manual_variant_review_required,False
KNOW,KNOW,C_01_048,canonical_and_pinned_raw_text_equal,14,11,13,0.38854329833494766,model_consistent_manual_variant_review_required,False
LANGUAGE,LANGUAGE,A_01_067,canonical_and_pinned_raw_text_equal,14,10,14,0.43975530777658733,model_consistent_manual_variant_review_required,False
LEARN,LEARN,B_01_042,canonical_and_pinned_raw_text_equal,14,9,14,0.3619609320802348,model_consistent_manual_variant_review_required,False
LESS,LESS,E_02_043,canonical_and_pinned_raw_text_equal,14,8,11,0.372978846866837,model_consistent_manual_variant_review_required,False
LIKE,LIKE,F_03_063,canonical_and_pinned_raw_text_equal,14,7,13,0.4242033664403217,model_consistent_manual_variant_review_required,False
LOVE,LOVE,G_01_068,canonical_and_pinned_raw_text_equal,14,14,14,0.7860872383628573,model_consistent_manual_variant_review_required,False
MAKE,MAKE,C_01_032,canonical_and_pinned_raw_text_equal,14,7,10,0.3588612893446615,ambiguous_manual_variant_review_required,False
MAN,MAN,C_01_040,canonical_and_pinned_raw_text_equal,10,6,9,0.3320776230189949,model_consistent_manual_variant_review_required,False
MAYBE,MAYBE,B_03_022,canonical_and_pinned_raw_text_equal,14,9,12,0.431635404471308,model_consistent_manual_variant_review_required,False
MORE,MORE,B_03_032,canonical_and_pinned_raw_text_equal,14,13,14,0.710367134639195,model_consistent_manual_variant_review_required,False
MORNING,MORNING,C_02_012,canonical_and_pinned_raw_text_equal,14,13,14,0.785508154492293,model_consistent_manual_variant_review_required,False
MOTHER,MOTHER,B_02_008,canonical_and_pinned_raw_text_equal,14,9,14,0.4012189057788679,model_consistent_manual_variant_review_required,False
MY,MY,C_01_060,canonical_and_pinned_raw_text_equal,14,5,11,0.2862261772222285,ambiguous_manual_variant_review_required,False
NAME,NAME,D_01_021,canonical_and_pinned_raw_text_equal,14,12,14,0.7571276012541992,model_consistent_manual_variant_review_required,False
NEED,NEED,C_02_034,canonical_and_pinned_raw_text_equal,12,4,10,0.24392689018471478,ambiguous_manual_variant_review_required,False
NO,NO,C_03_041,canonical_and_pinned_raw_text_equal,14,9,12,0.4060309078777209,model_consistent_manual_variant_review_required,False
NOW,NOW,C_03_062,canonical_and_pinned_raw_text_equal,14,9,12,0.5334361531006705,model_consistent_manual_variant_review_required,False
OUR,OUR,G_02_067,canonical_and_pinned_raw_text_equal,14,10,10,0.5015104939895016,ambiguous_manual_variant_review_required,False
PLEASE,PLEASE,B_02_007,canonical_and_pinned_raw_text_equal,14,13,14,0.7218687651412827,model_consistent_manual_variant_review_required,False
READ,READ,A_01_022,canonical_and_pinned_raw_text_equal,14,3,10,0.2465072285849601,ambiguous_manual_variant_review_required,False
READY,READY,F_03_042,canonical_and_pinned_raw_text_equal,14,8,13,0.3552949802085225,model_consistent_manual_variant_review_required,False
SAD,SAD,B_02_053,canonical_and_pinned_raw_text_equal,14,13,14,0.7317838509167943,model_consistent_manual_variant_review_required,False
SCHOOL,SCHOOL,C_03_089,canonical_and_pinned_raw_text_equal,14,8,12,0.3599890370387584,model_consistent_manual_variant_review_required,False
SEE,SEE,C_02_030,canonical_and_pinned_raw_text_equal,7,7,7,0.7859063233648028,model_consistent_manual_variant_review_required,False
SIGN,SIGN,E_03_050,canonical_and_pinned_raw_text_equal,14,1,1,0.06922792041275118,high_risk_manual_variant_review_required,False
SLEEP,SLEEP,B_03_037,canonical_and_pinned_raw_text_equal,10,5,10,0.36287202723324297,model_consistent_manual_variant_review_required,False
SMALL,SMALL,D_01_030,canonical_and_pinned_raw_text_equal,10,6,8,0.5229782299138606,model_consistent_manual_variant_review_required,False
SORRY,SORRY,C_01_020,canonical_and_pinned_raw_text_equal,14,12,13,0.6956960667989084,model_consistent_manual_variant_review_required,False
STOP,STOP,D_01_010,canonical_and_pinned_raw_text_equal,14,2,10,0.14545855777604239,ambiguous_manual_variant_review_required,False
