canonical_label,citizen_raw_gloss,citizen_asl_lex_code,lexical_tier,clips,top1_hits,top5_hits,mean_true_probability,triage,training_approved
ANGRY,ANGRY,B_01_070,canonical_and_pinned_raw_text_equal,10,6,8,0.4966674351133406,model_consistent_manual_variant_review_required,False
ANSWER,ANSWER,E_03_065,canonical_and_pinned_raw_text_equal,14,8,13,0.36776237013483687,model_consistent_manual_variant_review_required,False
ASK,ASK,B_02_023,canonical_and_pinned_raw_text_equal,14,1,6,0.06423226250002959,high_risk_manual_variant_review_required,False
BAD,BAD,B_02_082,canonical_and_pinned_raw_text_equal,14,11,14,0.7038151148174491,model_consistent_manual_variant_review_required,False
BIG,BIG,F_02_054,canonical_and_pinned_raw_text_equal,9,2,6,0.20469718650242108,ambiguous_manual_variant_review_required,False
CHILD,CHILD,F_03_101,canonical_and_pinned_raw_text_equal,14,6,10,0.3200083415971936,ambiguous_manual_variant_review_required,False
COLD,COLD,C_02_068,canonical_and_pinned_raw_text_equal,14,10,14,0.37450561406356947,model_consistent_manual_variant_review_required,False
COME,COME,C_03_074,canonical_and_pinned_raw_text_equal,14,0,2,0.010546294456746961,high_risk_manual_variant_review_required,False
DAY,DAY,C_01_044,canonical_and_pinned_raw_text_equal,14,11,14,0.7301554437726736,model_consistent_manual_variant_review_required,False
DIFFERENT,DIFFERENT,E_03_095,canonical_and_pinned_raw_text_equal,8,7,8,0.7003161124885082,model_consistent_manual_variant_review_required,False
EASY,EASY,D_01_070,canonical_and_pinned_raw_text_equal,11,10,11,0.7576410333541307,model_consistent_manual_variant_review_required,False
EXCITED,EXCITED,H_01_102,canonical_and_pinned_raw_text_equal,10,10,10,0.6731666564941406,model_consistent_manual_variant_review_required,False
FAMILY,FAMILY,C_01_025,canonical_and_pinned_raw_text_equal,14,14,14,0.8233568583215986,model_consistent_manual_variant_review_required,False
FATHER,FATHER,B_01_077,canonical_and_pinned_raw_text_equal,14,14,14,0.8085996913058418,model_consistent_manual_variant_review_required,False
FEEL,FEEL,C_02_001,canonical_and_pinned_raw_text_equal,14,9,12,0.3862065989524126,model_consistent_manual_variant_review_required,False
FRIEND,FRIEND,D_03_010,canonical_and_pinned_raw_text_equal,14,8,11,0.42779945209622383,model_consistent_manual_variant_review_required,False
GIVE,GIVE,F_01_023,canonical_and_pinned_raw_text_equal,14,8,9,0.27176194824278355,ambiguous_manual_variant_review_required,False
GO,GO,C_03_056,canonical_and_pinned_raw_text_equal,14,7,14,0.2822204584787999,model_consistent_manual_variant_review_required,False
GOOD,GOOD,B_01_052,canonical_and_pinned_raw_text_equal,10,1,7,0.12239444293081761,ambiguous_manual_variant_review_required,False
HAPPY,HAPPY,C_03_078,canonical_and_pinned_raw_text_equal,12,8,10,0.43607625873604167,model_consistent_manual_variant_review_required,False
HELLO,HELLO,D_02_055,canonical_and_pinned_raw_text_equal,14,10,11,0.4979090198591751,model_consistent_manual_variant_review_required,False
HELP,HELP,D_01_042,canonical_and_pinned_raw_text_equal,14,7,12,0.14483956277503499,model_consistent_manual_variant_review_required,False
HOT,HOT,F_02_093,canonical_and_pinned_raw_text_equal,12,8,11,0.5574775276084741,model_consistent_manual_variant_review_required,False
IMPORTANT,IMPORTANT,B_01_081,canonical_and_pinned_raw_text_equal,14,13,14,0.8199505220566478,model_consistent_manual_variant_review_required,False
KNOW,KNOW,C_01_048,canonical_and_pinned_raw_text_equal,14,10,12,0.5976875373827559,model_consistent_manual_variant_review_required,False
LANGUAGE,LANGUAGE,A_01_067,canonical_and_pinned_raw_text_equal,14,12,13,0.5175966074956315,model_consistent_manual_variant_review_required,False
LEARN,LEARN,B_01_042,canonical_and_pinned_raw_text_equal,14,12,14,0.6275123655796051,model_consistent_manual_variant_review_required,False
LESS,LESS,E_02_043,canonical_and_pinned_raw_text_equal,14,7,10,0.47982271476316135,ambiguous_manual_variant_review_required,False
LIKE,LIKE,F_03_063,canonical_and_pinned_raw_text_equal,14,10,13,0.5754817572555372,model_consistent_manual_variant_review_required,False
LOVE,LOVE,G_01_068,canonical_and_pinned_raw_text_equal,14,14,14,0.8723856721605573,model_consistent_manual_variant_review_required,False
MAKE,MAKE,C_01_032,canonical_and_pinned_raw_text_equal,14,11,12,0.5762511585240385,model_consistent_manual_variant_review_required,False
MAN,MAN,C_01_040,canonical_and_pinned_raw_text_equal,10,10,10,0.527805782854557,model_consistent_manual_variant_review_required,False
MAYBE,MAYBE,B_03_022,canonical_and_pinned_raw_text_equal,14,10,11,0.5667057430005765,model_consistent_manual_variant_review_required,False
MORE,MORE,B_03_032,canonical_and_pinned_raw_text_equal,14,14,14,0.7687332630157471,model_consistent_manual_variant_review_required,False
