canonical_label,citizen_raw_gloss,citizen_asl_lex_code,lexical_tier,clips,top1_hits,top5_hits,mean_true_probability,triage,training_approved
ANGRY,ANGRY,B_01_070,canonical_and_pinned_raw_text_equal,7,3,4,0.3875995014927217,ambiguous_manual_variant_review_required,False
ANSWER,ANSWER,E_03_065,canonical_and_pinned_raw_text_equal,7,2,6,0.21852305850812367,ambiguous_manual_variant_review_required,False
ASK,ASK,B_02_023,canonical_and_pinned_raw_text_equal,7,1,5,0.15280361686434066,ambiguous_manual_variant_review_required,False
BAD,BAD,B_02_082,canonical_and_pinned_raw_text_equal,7,4,7,0.4513756169804505,model_consistent_manual_variant_review_required,False
BIG,BIG,F_02_054,canonical_and_pinned_raw_text_equal,7,1,5,0.17847095133869775,ambiguous_manual_variant_review_required,False
CHILD,CHILD,F_03_101,canonical_and_pinned_raw_text_equal,7,4,5,0.4852480143807562,ambiguous_manual_variant_review_required,False
COLD,COLD,C_02_068,canonical_and_pinned_raw_text_equal,7,5,6,0.4193546622991562,model_consistent_manual_variant_review_required,False
COME,COME,C_03_074,canonical_and_pinned_raw_text_equal,7,0,1,0.008233524056517385,high_risk_manual_variant_review_required,False
DAY,DAY,C_01_044,canonical_and_pinned_raw_text_equal,7,6,7,0.7476653956941196,model_consistent_manual_variant_review_required,False
DIFFERENT,DIFFERENT,E_03_095,canonical_and_pinned_raw_text_equal,7,7,7,0.7264933841569083,model_consistent_manual_variant_review_required,False
DOCTOR,DOCTOR1,A_03_020,canonical_only_variant_review_required,7,3,5,0.37955453732450095,ambiguous_manual_variant_review_required,False
DRINK,DRINK1,B_02_012,canonical_only_variant_review_required,7,5,7,0.3631222890689969,model_consistent_manual_variant_review_required,False
EASY,EASY,D_01_070,canonical_and_pinned_raw_text_equal,7,6,7,0.7108178777354104,model_consistent_manual_variant_review_required,False
EAT,EAT1,B_02_002,canonical_only_variant_review_required,7,4,7,0.3390153795480728,model_consistent_manual_variant_review_required,False
EXCITED,EXCITED,H_01_102,canonical_and_pinned_raw_text_equal,7,7,7,0.6234666790281024,model_consistent_manual_variant_review_required,False
FAMILY,FAMILY,C_01_025,canonical_and_pinned_raw_text_equal,7,7,7,0.8250944444111415,model_consistent_manual_variant_review_required,False
FATHER,FATHER,B_01_077,canonical_and_pinned_raw_text_equal,7,6,7,0.7335553594997951,model_consistent_manual_variant_review_required,False
FEEL,FEEL,C_02_001,canonical_and_pinned_raw_text_equal,7,6,6,0.4841927611102749,model_consistent_manual_variant_review_required,False
FRIEND,FRIEND,D_03_010,canonical_and_pinned_raw_text_equal,7,4,4,0.3945601642730513,ambiguous_manual_variant_review_required,False
GIVE,GIVE,F_01_023,canonical_and_pinned_raw_text_equal,7,3,5,0.3451619414263405,ambiguous_manual_variant_review_required,False
GO,GO,C_03_056,canonical_and_pinned_raw_text_equal,7,5,7,0.5369652169091361,model_consistent_manual_variant_review_required,False
