canonical_label,citizen_raw_gloss,citizen_asl_lex_code,lexical_tier,clips,top1_hits,top5_hits,mean_true_probability,triage,training_approved
ANGRY,ANGRY,B_01_070,canonical_and_pinned_raw_text_equal,10,6,7,0.5237437421455979,ambiguous_manual_variant_review_required,False
ANSWER,ANSWER,E_03_065,canonical_and_pinned_raw_text_equal,14,5,11,0.236037453503481,ambiguous_manual_variant_review_required,False
ASK,ASK,B_02_023,canonical_and_pinned_raw_text_equal,14,3,10,0.12096407972109903,ambiguous_manual_variant_review_required,False
BAD,BAD,B_02_082,canonical_and_pinned_raw_text_equal,14,9,14,0.5564504896423647,model_consistent_manual_variant_review_required,False
BIG,BIG,F_02_054,canonical_and_pinned_raw_text_equal,9,1,6,0.17391144324533847,ambiguous_manual_variant_review_required,False
CHILD,CHILD,F_03_101,canonical_and_pinned_raw_text_equal,14,6,8,0.35475378061944085,ambiguous_manual_variant_review_required,False
COLD,COLD,C_02_068,canonical_and_pinned_raw_text_equal,14,7,13,0.29994097857603,model_consistent_manual_variant_review_required,False
COME,COME,C_03_074,canonical_and_pinned_raw_text_equal,14,0,2,0.008351976149892184,high_risk_manual_variant_review_required,False
DAY,DAY,C_01_044,canonical_and_pinned_raw_text_equal,14,11,14,0.7121876089700631,model_consistent_manual_variant_review_required,False
DIFFERENT,DIFFERENT,E_03_095,canonical_and_pinned_raw_text_equal,8,8,8,0.7412654757499695,model_consistent_manual_variant_review_required,False
EASY,EASY,D_01_070,canonical_and_pinned_raw_text_equal,11,9,11,0.6237363354726271,model_consistent_manual_variant_review_required,False
EXCITED,EXCITED,H_01_102,canonical_and_pinned_raw_text_equal,10,10,10,0.6152025043964386,model_consistent_manual_variant_review_required,False
FAMILY,FAMILY,C_01_025,canonical_and_pinned_raw_text_equal,14,14,14,0.7922039734465736,model_consistent_manual_variant_review_required,False
FATHER,FATHER,B_01_077,canonical_and_pinned_raw_text_equal,14,12,14,0.7485194568123136,model_consistent_manual_variant_review_required,False
FEEL,FEEL,C_02_001,canonical_and_pinned_raw_text_equal,14,11,11,0.4456664656006199,model_consistent_manual_variant_review_required,False
FRIEND,FRIEND,D_03_010,canonical_and_pinned_raw_text_equal,14,8,11,0.34340388362761587,model_consistent_manual_variant_review_required,False
GIVE,GIVE,F_01_023,canonical_and_pinned_raw_text_equal,14,10,12,0.4414810085893675,model_consistent_manual_variant_review_required,False
GO,GO,C_03_056,canonical_and_pinned_raw_text_equal,14,8,13,0.4136010821509574,model_consistent_manual_variant_review_required,False
GOOD,GOOD,B_01_052,canonical_and_pinned_raw_text_equal,10,0,6,0.09838354616658762,ambiguous_manual_variant_review_required,False
HAPPY,HAPPY,C_03_078,canonical_and_pinned_raw_text_equal,12,9,9,0.4820324922911823,model_consistent_manual_variant_review_required,False
HELLO,HELLO,D_02_055,canonical_and_pinned_raw_text_equal,14,9,13,0.4456108716050429,model_consistent_manual_variant_review_required,False
HELP,HELP,D_01_042,canonical_and_pinned_raw_text_equal,14,6,12,0.19940823848758424,ambiguous_manual_variant_review_required,False
HOT,HOT,F_02_093,canonical_and_pinned_raw_text_equal,12,6,10,0.34995654769591056,model_consistent_manual_variant_review_required,False
IMPORTANT,IMPORTANT,B_01_081,canonical_and_pinned_raw_text_equal,14,13,14,0.701244443655014,model_consistent_manual_variant_review_required,False
KNOW,KNOW,C_01_048,canonical_and_pinned_raw_text_equal,14,11,13,0.6430134783898082,model_consistent_manual_variant_review_required,False
LANGUAGE,LANGUAGE,A_01_067,canonical_and_pinned_raw_text_equal,14,11,14,0.5043835932654994,model_consistent_manual_variant_review_required,False
LEARN,LEARN,B_01_042,canonical_and_pinned_raw_text_equal,14,13,14,0.7527334104691233,model_consistent_manual_variant_review_required,False
LESS,LESS,E_02_043,canonical_and_pinned_raw_text_equal,14,7,10,0.4599184331351093,ambiguous_manual_variant_review_required,False
LIKE,LIKE,F_03_063,canonical_and_pinned_raw_text_equal,14,12,13,0.668278159307582,model_consistent_manual_variant_review_required,False
LOVE,LOVE,G_01_068,canonical_and_pinned_raw_text_equal,14,14,14,0.8844224342278072,model_consistent_manual_variant_review_required,False
MAKE,MAKE,C_01_032,canonical_and_pinned_raw_text_equal,14,8,10,0.37610486768452184,ambiguous_manual_variant_review_required,False
MAN,MAN,C_01_040,canonical_and_pinned_raw_text_equal,10,10,10,0.5573850274085999,model_consistent_manual_variant_review_required,False
MAYBE,MAYBE,B_03_022,canonical_and_pinned_raw_text_equal,14,8,12,0.5251284320838749,model_consistent_manual_variant_review_required,False
MORE,MORE,B_03_032,canonical_and_pinned_raw_text_equal,14,14,14,0.8291090684277671,model_consistent_manual_variant_review_required,False
