canonical_label,citizen_raw_gloss,citizen_asl_lex_code,match_tier,clips,participants,top1_hits,top5_hits,mean_true_probability,triage,training_approved
ANGRY,ANGRY,B_01_070,pinned_raw_gloss_exact,1,1,1,1,0.8888203501701355,ambiguous_manual_variant_review_required,False
ANSWER,ANSWER,E_03_065,pinned_raw_gloss_exact,4,4,3,3,0.471641450189054,ambiguous_manual_variant_review_required,False
ASK,ASK,B_02_023,pinned_raw_gloss_exact,5,5,0,1,0.04139253012835979,high_risk_manual_variant_review_required,False
BAD,BAD,B_02_082,pinned_raw_gloss_exact,6,6,1,2,0.11544019899641474,high_risk_manual_variant_review_required,False
BIG,BIG,F_02_054,pinned_raw_gloss_exact,7,5,4,6,0.24401426794273512,model_consistent_manual_variant_review_required,False
COLD,COLD,C_02_068,pinned_raw_gloss_exact,5,5,1,2,0.09913449864834548,high_risk_manual_variant_review_required,False
COME,COME,C_03_074,pinned_raw_gloss_exact,6,6,0,0,0.005264085833914578,high_risk_manual_variant_review_required,False
DAY,DAY,C_01_044,pinned_raw_gloss_exact,6,5,5,6,0.7718858992060026,model_consistent_manual_variant_review_required,False
DOCTOR,DOCTOR1,A_03_020,canonical_label_only,7,7,0,4,0.06903213033053492,ambiguous_manual_variant_review_required,False
DRINK,DRINK1,B_02_012,canonical_label_only,5,5,0,1,0.014847398037090898,high_risk_manual_variant_review_required,False
FAMILY,FAMILY,C_01_025,pinned_raw_gloss_exact,7,7,7,7,0.7481883679117475,model_consistent_manual_variant_review_required,False
FRIEND,FRIEND,D_03_010,pinned_raw_gloss_exact,12,9,12,12,0.5906880646944046,model_consistent_manual_variant_review_required,False
GIVE,GIVE,F_01_023,pinned_raw_gloss_exact,2,2,1,2,0.27636411041021347,model_consistent_manual_variant_review_required,False
GO,GO,C_03_056,pinned_raw_gloss_exact,4,4,0,3,0.08302645478397608,ambiguous_manual_variant_review_required,False
HAVE,HAVE,B_03_057,pinned_raw_gloss_exact,8,8,2,5,0.26823312485794304,ambiguous_manual_variant_review_required,False
HEAR,HEAR2,J_02_006,canonical_label_only,1,1,0,0,0.0010738364653661847,high_risk_manual_variant_review_required,False
HELLO,HELLO,D_02_055,pinned_raw_gloss_exact,7,7,0,1,0.019631725286931863,high_risk_manual_variant_review_required,False
HELP,HELP,D_01_042,pinned_raw_gloss_exact,5,5,1,2,0.08179060770198703,high_risk_manual_variant_review_required,False
HOME,HOME,B_03_063,pinned_raw_gloss_exact,7,7,1,1,0.12362108176707157,high_risk_manual_variant_review_required,False
HOSPITAL,HOSPITAL1,B_02_026,canonical_label_only,9,9,5,8,0.3187359507299132,model_consistent_manual_variant_review_required,False
HOT,HOT,F_02_093,pinned_raw_gloss_exact,7,7,1,1,0.0837799582763442,high_risk_manual_variant_review_required,False
