canonical_label,clips,tier_a_dual_top1,tier_b_dual_top5_one_top1,tier_c_dual_top5_only,quarantine_model_disagreement,quarantine_extraction_quality,quarantine_lexical_mismatch,quarantine_exact_duplicate,training_approved
ANGRY,10,4,1,0,3,2,0,0,False
ANSWER,14,3,2,3,5,1,0,0,False
ASK,14,2,2,4,5,1,0,0,False
BAD,14,8,4,2,0,0,0,0,False
BIG,9,1,1,3,3,1,0,0,False
CHILD,14,6,2,0,5,1,0,0,False
COLD,14,4,4,1,1,4,0,0,False
COME,14,0,0,2,11,1,0,0,False
DAY,14,11,0,1,0,2,0,0,False
DIFFERENT,8,6,2,0,0,0,0,0,False
EASY,11,8,1,0,0,2,0,0,False
EXCITED,10,10,0,0,0,0,0,0,False
FAMILY,14,14,0,0,0,0,0,0,False
FATHER,14,8,4,2,0,0,0,0,False
FEEL,14,6,4,0,3,1,0,0,False
FRIEND,14,2,5,2,5,0,0,0,False
GIVE,14,4,3,0,2,5,0,0,False
GO,14,0,6,2,3,3,0,0,False
GOOD,10,0,2,4,3,1,0,0,False
HAPPY,12,2,2,0,4,4,0,0,False
HELLO,14,2,3,3,1,5,0,0,False
HELP,14,0,5,1,2,6,0,0,False
HOT,12,4,3,0,5,0,0,0,False
IMPORTANT,14,11,1,0,0,2,0,0,False
KNOW,14,8,4,0,1,1,0,0,False
LANGUAGE,14,7,2,1,0,4,0,0,False
LEARN,14,9,4,0,0,1,0,0,False
LESS,14,7,1,1,5,0,0,0,False
LIKE,14,6,1,0,1,6,0,0,False
LOVE,14,3,0,0,0,11,0,0,False
MAKE,14,5,3,0,1,5,0,0,False
MAN,10,5,3,0,1,1,0,0,False
MAYBE,14,4,1,0,0,9,0,0,False
MORE,14,13,0,0,0,1,0,0,False
MORNING,14,8,1,1,0,4,0,0,False
MOTHER,14,9,3,2,0,0,0,0,False
MY,14,0,2,4,3,5,0,0,False
NAME,14,10,0,2,0,2,0,0,False
NEED,12,3,2,4,2,1,0,0,False
NO,14,8,1,2,2,1,0,0,False
NOW,14,3,1,0,0,10,0,0,False
OUR,14,9,0,0,0,5,0,0,False
PLEASE,14,13,0,0,0,1,0,0,False
READ,14,3,4,2,3,2,0,0,False
READY,14,8,2,1,0,3,0,0,False
SAD,14,13,1,0,0,0,0,0,False
SCHOOL,14,4,4,1,0,5,0,0,False
SEE,7,7,0,0,0,0,0,0,False
SIGN,14,1,0,0,11,2,0,0,False
SLEEP,10,5,2,0,0,3,0,0,False
SMALL,10,6,2,0,2,0,0,0,False
SORRY,14,12,0,0,0,2,0,0,False
STOP,14,1,1,1,3,8,0,0,False
TAKE,13,1,2,2,5,3,0,0,False
TELL,14,11,3,0,0,0,0,0,False
THANKYOU,14,7,4,1,1,1,0,0,False
THINK,14,10,1,0,0,3,0,0,False
TIME,14,5,0,1,1,7,0,0,False
TIRED,14,9,0,0,0,5,0,0,False
TOMORROW,14,8,3,2,0,1,0,0,False
TRY,14,6,1,1,0,6,0,0,False
UNDERSTAND,9,2,2,2,2,1,0,0,False
USE,14,8,0,0,5,1,0,0,False
WAIT,14,5,1,1,3,4,0,0,False
WATER,14,4,6,1,2,1,0,0,False
WEEK,14,4,3,1,0,6,0,0,False
WHEN,14,4,4,2,0,4,0,0,False
WHERE,14,5,3,2,3,1,0,0,False
WHO,14,5,3,1,4,1,0,0,False
WHY,14,3,1,6,4,0,0,0,False
WORK,14,6,1,0,0,7,0,0,False
WRITE,14,2,2,1,5,4,0,0,False
YEAR,14,7,0,2,0,5,0,0,False
YES,14,2,7,2,2,1,0,0,False
YESTERDAY,14,9,2,0,2,1,0,0,False
YOU,14,4,1,5,3,1,0,0,False
YOUR,14,1,2,0,7,4,0,0,False
