canonical_label,citizen_raw_gloss,citizen_asl_lex_code,asllex_entry_id,clips,signers,top1_hits,top5_hits,mean_true_probability,triage,training_approved
ANGRY,ANGRY,B_01_070,angry,18,18,12,17,0.6029555909853015,model_consistent,False
ANSWER,ANSWER,E_03_065,answer,11,11,5,8,0.3479624812237241,cross_domain_ambiguous,False
ASK,ASK,B_02_023,ask,14,14,8,12,0.4713644570604499,model_consistent,False
BAD,BAD,B_02_082,bad,21,21,14,18,0.5032439025096773,model_consistent,False
BIG,BIG,F_02_054,big,22,22,15,20,0.5488360297696834,model_consistent,False
COLD,COLD,C_02_068,cold,24,24,23,24,0.8169987257570028,model_consistent,False
COME,COME,C_03_074,come,8,8,5,6,0.39045615153736435,cross_domain_ambiguous,False
DAY,DAY,C_01_044,day,17,17,16,17,0.6779455633505302,model_consistent,False
DIFFERENT,DIFFERENT,E_03_095,different,17,17,11,16,0.45568353126702066,model_consistent,False
DOCTOR,DOCTOR1,A_03_020,doctor,22,22,11,15,0.37403439988636156,cross_domain_ambiguous,False
DRINK,DRINK1,B_02_012,drink,21,21,16,21,0.6849739716521331,model_consistent,False
EASY,EASY,D_01_070,easy,18,18,18,18,0.7923584149943458,model_consistent,False
EAT,EAT1,B_02_002,eat_1,25,25,21,24,0.6726808958034962,model_consistent,False
EXCITED,EXCITED,H_01_102,excited,19,19,17,19,0.620504193007946,model_consistent,False
FAMILY,FAMILY,C_01_025,family,22,22,20,22,0.7478712818331339,model_consistent,False
FATHER,FATHER,B_01_077,father,11,11,9,10,0.6785739656876434,model_consistent,False
FEEL,FEEL,C_02_001,feel,16,16,11,14,0.5875753670698032,model_consistent,False
FIND,FIND,B_03_076,find,11,11,6,11,0.4534055438231338,model_consistent,False
FRIEND,FRIEND,D_03_010,friend,20,20,14,19,0.5789952808991075,model_consistent,False
GIVE,GIVE,F_01_023,give,12,12,6,8,0.33545018794635934,cross_domain_ambiguous,False
GO,GO,C_03_056,go,9,9,3,6,0.2612835801879151,cross_domain_ambiguous,False
GOOD,GOOD,B_01_052,good,21,21,6,20,0.28689589794902576,cross_domain_ambiguous,False
GOODBYE,BYE,E_01_058,bye,7,7,4,5,0.38716226220380384,cross_domain_ambiguous,False
HAPPY,HAPPY,C_03_078,happy,22,22,11,21,0.42301529637453233,model_consistent,False
HAVE,HAVE,B_03_057,have,9,9,6,7,0.6250575258293085,cross_domain_ambiguous,False
HE,HE,F_02_044,he,2,2,0,1,0.07091774258879013,cross_domain_ambiguous,False
HEAR,HEAR2,J_02_006,hear_2,8,8,6,7,0.4991487741935998,model_consistent,False
HELLO,HELLO,D_02_055,hello,12,12,7,11,0.4767902975048249,model_consistent,False
HELP,HELP,D_01_042,help,22,22,19,20,0.6338164949345149,model_consistent,False
HOME,HOME,B_03_063,home,19,19,19,19,0.8032744652346561,model_consistent,False
HOSPITAL,HOSPITAL1,B_02_026,hospital,14,14,9,10,0.47264755780010353,cross_domain_ambiguous,False
HOT,HOT,F_02_093,hot,22,22,14,18,0.48044840242205694,model_consistent,False
HOW,HOW1,D_02_082,how,5,5,5,5,0.7721168994903564,model_consistent,False
HUNGRY,HUNGRY,C_01_010,hungry,19,19,12,15,0.4670040083460902,cross_domain_ambiguous,False
I,ME,B_01_068,me,17,17,15,16,0.7408515763852526,model_consistent,False
IMPORTANT,IMPORTANT,B_01_081,important,17,17,15,16,0.7407334633856354,model_consistent,False
KNOW,KNOW,C_01_048,know,17,17,11,15,0.5136801949428285,model_consistent,False
LANGUAGE,LANGUAGE,A_01_067,language,9,9,6,8,0.5159625893251764,model_consistent,False
LEARN,LEARN,B_01_042,learn,19,19,15,16,0.6030156589787159,model_consistent,False
LESS,LESS,E_02_043,less,10,10,6,7,0.45304193942574783,cross_domain_ambiguous,False
LIKE,LIKE,F_03_063,like,13,13,8,10,0.4246931683916885,cross_domain_ambiguous,False
LISTEN,LISTEN,K_01_117,listen,12,12,9,10,0.5772117682499811,model_consistent,False
LOVE,LOVE,G_01_068,love,20,20,19,19,0.7649928706872743,model_consistent,False
MAKE,MAKE,C_01_032,make,16,16,12,15,0.5791168637479132,model_consistent,False
MAN,MAN,C_01_040,man,16,16,16,16,0.7967959884554148,model_consistent,False
MAYBE,MAYBE,B_03_022,maybe,11,11,9,11,0.536701307378032,model_consistent,False
MORE,MORE,B_03_032,more,10,10,9,9,0.7951752468943596,model_consistent,False
MORNING,MORNING,C_02_012,morning,18,18,17,18,0.6734693008992407,model_consistent,False
MOTHER,MOTHER,B_02_008,mother,14,14,5,13,0.3249517577434225,cross_domain_ambiguous,False
MY,MY,C_01_060,my,13,13,8,12,0.5612033356178122,model_consistent,False
NAME,NAME,D_01_021,name,17,17,17,17,0.7726931764799005,model_consistent,False
NEED,NEED,C_02_034,need,15,15,9,14,0.5500598760942618,model_consistent,False
NIGHT,NIGHT1,A_01_003,night,18,18,17,17,0.7211701159055034,model_consistent,False
