canonical_label,citizen_raw_gloss,citizen_asl_lex_code,lexical_tier,clips,top1_hits,top5_hits,mean_true_probability,triage,training_approved
ANGRY,ANGRY,B_01_070,canonical_and_pinned_raw_text_equal,4,1,4,0.2917869472876191,ambiguous_manual_variant_review_required,False
ANSWER,ANSWER,E_03_065,canonical_and_pinned_raw_text_equal,4,2,3,0.3281038454733789,model_consistent_manual_variant_review_required,False
ASK,ASK,B_02_023,canonical_and_pinned_raw_text_equal,4,2,3,0.21415492123924196,model_consistent_manual_variant_review_required,False
BAD,BAD,B_02_082,canonical_and_pinned_raw_text_equal,4,3,4,0.41107380390167236,model_consistent_manual_variant_review_required,False
BIG,BIG,F_02_054,canonical_and_pinned_raw_text_equal,4,1,3,0.14348127890843898,ambiguous_manual_variant_review_required,False
CHILD,CHILD,F_03_101,canonical_and_pinned_raw_text_equal,4,3,3,0.56178157357499,model_consistent_manual_variant_review_required,False
COLD,COLD,C_02_068,canonical_and_pinned_raw_text_equal,4,3,4,0.4545860318467021,model_consistent_manual_variant_review_required,False
COME,COME,C_03_074,canonical_and_pinned_raw_text_equal,4,0,1,0.007601720186357852,high_risk_manual_variant_review_required,False
DAY,DAY,C_01_044,canonical_and_pinned_raw_text_equal,4,3,4,0.6570130912587047,model_consistent_manual_variant_review_required,False
DIFFERENT,DIFFERENT,E_03_095,canonical_and_pinned_raw_text_equal,4,4,4,0.7631126791238785,model_consistent_manual_variant_review_required,False
DOCTOR,DOCTOR1,A_03_020,canonical_only_variant_review_required,4,3,3,0.2957832487882115,model_consistent_manual_variant_review_required,False
DRINK,DRINK1,B_02_012,canonical_only_variant_review_required,4,3,3,0.4184062541462481,model_consistent_manual_variant_review_required,False
EASY,EASY,D_01_070,canonical_and_pinned_raw_text_equal,4,3,4,0.6356526538729668,model_consistent_manual_variant_review_required,False
EAT,EAT1,B_02_002,canonical_only_variant_review_required,4,2,3,0.31948635214939713,model_consistent_manual_variant_review_required,False
EXCITED,EXCITED,H_01_102,canonical_and_pinned_raw_text_equal,4,4,4,0.5709078162908554,model_consistent_manual_variant_review_required,False
FAMILY,FAMILY,C_01_025,canonical_and_pinned_raw_text_equal,4,4,4,0.8240411430597305,model_consistent_manual_variant_review_required,False
FATHER,FATHER,B_01_077,canonical_and_pinned_raw_text_equal,4,2,4,0.40792855992913246,model_consistent_manual_variant_review_required,False
FEEL,FEEL,C_02_001,canonical_and_pinned_raw_text_equal,4,3,3,0.34276045812293887,model_consistent_manual_variant_review_required,False
FRIEND,FRIEND,D_03_010,canonical_and_pinned_raw_text_equal,4,0,3,0.18179633875843138,ambiguous_manual_variant_review_required,False
GIVE,GIVE,F_01_023,canonical_and_pinned_raw_text_equal,4,0,3,0.05763272556941956,ambiguous_manual_variant_review_required,False
GO,GO,C_03_056,canonical_and_pinned_raw_text_equal,4,0,4,0.1403217022307217,ambiguous_manual_variant_review_required,False
GOOD,GOOD,B_01_052,canonical_and_pinned_raw_text_equal,4,1,3,0.1357111198012717,ambiguous_manual_variant_review_required,False
GOODBYE,BYE,E_01_058,canonical_only_variant_review_required,4,0,0,0.03150861768517643,high_risk_manual_variant_review_required,False
HAPPY,HAPPY,C_03_078,canonical_and_pinned_raw_text_equal,4,0,3,0.06664023268967867,ambiguous_manual_variant_review_required,False
HEAR,HEAR2,J_02_006,canonical_only_variant_review_required,4,0,3,0.05122746393317357,ambiguous_manual_variant_review_required,False
HELLO,HELLO,D_02_055,canonical_and_pinned_raw_text_equal,4,1,4,0.22120964899659157,ambiguous_manual_variant_review_required,False
HELP,HELP,D_01_042,canonical_and_pinned_raw_text_equal,4,1,3,0.12098641134798527,ambiguous_manual_variant_review_required,False
HOSPITAL,HOSPITAL1,B_02_026,canonical_only_variant_review_required,4,2,4,0.47326328000053763,model_consistent_manual_variant_review_required,False
HOT,HOT,F_02_093,canonical_and_pinned_raw_text_equal,4,2,2,0.3960275565041229,ambiguous_manual_variant_review_required,False
HOW,HOW1,D_02_082,canonical_only_variant_review_required,4,0,3,0.11055311001837254,ambiguous_manual_variant_review_required,False
IMPORTANT,IMPORTANT,B_01_081,canonical_and_pinned_raw_text_equal,4,4,4,0.694498598575592,model_consistent_manual_variant_review_required,False
KNOW,KNOW,C_01_048,canonical_and_pinned_raw_text_equal,4,3,4,0.42107487842440605,model_consistent_manual_variant_review_required,False
LANGUAGE,LANGUAGE,A_01_067,canonical_and_pinned_raw_text_equal,4,2,4,0.38420115411281586,model_consistent_manual_variant_review_required,False
LEARN,LEARN,B_01_042,canonical_and_pinned_raw_text_equal,4,3,4,0.36137002147734165,model_consistent_manual_variant_review_required,False
LESS,LESS,E_02_043,canonical_and_pinned_raw_text_equal,4,2,2,0.396680429315893,ambiguous_manual_variant_review_required,False
LIKE,LIKE,F_03_063,canonical_and_pinned_raw_text_equal,4,1,4,0.1509990319609642,ambiguous_manual_variant_review_required,False
LOVE,LOVE,G_01_068,canonical_and_pinned_raw_text_equal,4,4,4,0.7722443714737892,model_consistent_manual_variant_review_required,False
MAKE,MAKE,C_01_032,canonical_and_pinned_raw_text_equal,4,3,3,0.5389051244128495,model_consistent_manual_variant_review_required,False
MAN,MAN,C_01_040,canonical_and_pinned_raw_text_equal,4,3,3,0.2803351968759671,model_consistent_manual_variant_review_required,False
MAYBE,MAYBE,B_03_022,canonical_and_pinned_raw_text_equal,4,3,3,0.45599005511030555,model_consistent_manual_variant_review_required,False
MORE,MORE,B_03_032,canonical_and_pinned_raw_text_equal,4,3,4,0.6430817469954491,model_consistent_manual_variant_review_required,False
MORNING,MORNING,C_02_012,canonical_and_pinned_raw_text_equal,4,4,4,0.8812623471021652,model_consistent_manual_variant_review_required,False
MOTHER,MOTHER,B_02_008,canonical_and_pinned_raw_text_equal,4,1,4,0.20884069707244635,ambiguous_manual_variant_review_required,False
MY,MY,C_01_060,canonical_and_pinned_raw_text_equal,4,2,3,0.3511652360903099,model_consistent_manual_variant_review_required,False
NAME,NAME,D_01_021,canonical_and_pinned_raw_text_equal,4,4,4,0.9119380861520767,model_consistent_manual_variant_review_required,False
NEED,NEED,C_02_034,canonical_and_pinned_raw_text_equal,4,1,3,0.15569919158588164,ambiguous_manual_variant_review_required,False
NIGHT,NIGHT1,A_01_003,canonical_only_variant_review_required,4,4,4,0.8185545355081558,model_consistent_manual_variant_review_required,False
NO,NO,C_03_041,canonical_and_pinned_raw_text_equal,4,2,4,0.4081935901194811,model_consistent_manual_variant_review_required,False
NOW,NOW,C_03_062,canonical_and_pinned_raw_text_equal,4,3,4,0.6515743043273687,model_consistent_manual_variant_review_required,False
OUR,OUR,G_02_067,canonical_and_pinned_raw_text_equal,4,4,4,0.7079559862613678,model_consistent_manual_variant_review_required,False
PLEASE,PLEASE,B_02_007,canonical_and_pinned_raw_text_equal,4,4,4,0.6668598130345345,model_consistent_manual_variant_review_required,False
READ,READ,A_01_022,canonical_and_pinned_raw_text_equal,4,1,3,0.2899125919211656,ambiguous_manual_variant_review_required,False
READY,READY,F_03_042,canonical_and_pinned_raw_text_equal,4,2,4,0.26156035624444485,model_consistent_manual_variant_review_required,False
SAD,SAD,B_02_053,canonical_and_pinned_raw_text_equal,4,3,4,0.5977035500109196,model_consistent_manual_variant_review_required,False
SCHOOL,SCHOOL,C_03_089,canonical_and_pinned_raw_text_equal,4,4,4,0.6446215435862541,model_consistent_manual_variant_review_required,False
SEE,SEE,C_02_030,canonical_and_pinned_raw_text_equal,4,4,4,0.8290213048458099,model_consistent_manual_variant_review_required,False
