category,canonical_gloss,in_current_v16,current_v16_glosses,citizen_raw_glosses,citizen_lex_codes,popsign_glosses,citizen_train_signers,citizen_val_signers,citizen_test_signers,popsign_train_signers,popsign_val_signers,popsign_test_signers,assumed_local_train_signers,working_train_signers,working_val_signers,working_test_signers,additional_train_signers_needed,additional_val_signers_needed,additional_test_signers_needed,meets_working_20_5_5,requires_variant_audit
people_and_reference,I,True,I,ME,B_01_068,,13,4,11,0,0,0,7,20,4,11,0,1,0,False,False
people_and_reference,YOU,True,YOU,YOU,D_02_065,,15,4,11,0,0,0,7,22,4,11,0,1,0,False,False
people_and_reference,WE,True,WE,WE,G_03_019,,16,3,11,0,0,0,7,23,3,11,0,2,0,False,False
people_and_reference,THEY,True,THEY,THEY1|THEY2,E_01_044|F_02_103,,14,3,11,0,0,0,7,21,3,11,0,2,0,False,True
people_and_reference,HE,True,HE,HE,F_02_044,,14,4,11,0,0,0,7,21,4,11,0,1,0,False,False
people_and_reference,MY,True,MY,MY,C_01_060,,13,4,11,0,0,0,7,20,4,11,0,1,0,False,False
people_and_reference,YOUR,True,YOUR,YOUR,F_01_052,,15,4,11,0,0,0,7,22,4,11,0,1,0,False,False
people_and_reference,OUR,True,OUR,OUR,G_02_067,,14,4,11,0,0,0,7,21,4,11,0,1,0,False,False
questions,WHAT,True,WHAT,W.H.A.T|WHAT1|WHAT2,D_02_084|D_02_094|G_02_089,,15,3,11,0,0,0,7,22,3,11,0,2,0,False,True
questions,WHERE,True,WHERE,WHERE,B_02_035,where,14,4,11,31,8,8,7,52,12,19,0,0,0,True,False
questions,WHEN,True,WHEN,WHEN,C_03_086,,14,4,11,0,0,0,7,21,4,11,0,1,0,False,False
questions,WHO,True,WHO,WHO,C_01_041,who,14,4,11,31,8,8,7,52,12,19,0,0,0,True,False
questions,WHY,True,WHY,WHY,D_01_067,why,14,4,11,23,7,7,7,44,11,18,0,0,0,True,False
questions,HOW,True,HOW,HOW1|HOW2,D_02_082|F_02_086,,16,3,11,0,0,0,7,23,3,11,0,2,0,False,True
social_and_safety,HELLO,True,HELLO,HELLO,D_02_055,hello,14,4,11,31,8,8,7,52,12,19,0,0,0,True,False
social_and_safety,GOODBYE,True,GOODBYE,BYE,E_01_058,bye,13,3,11,29,7,8,7,49,10,19,0,0,0,True,False
social_and_safety,PLEASE,True,PLEASE,PLEASE,B_02_007,please,14,4,11,31,8,8,7,52,12,19,0,0,0,True,False
social_and_safety,THANKYOU,True,THANKYOU,THANKYOU,H_02_053,thankyou,16,3,11,31,8,8,7,54,11,19,0,0,0,True,False
social_and_safety,SORRY,True,SORRY,SORRY,C_01_020,,15,3,10,0,0,0,7,22,3,10,0,2,0,False,False
social_and_safety,YES,True,YES,YES,G_03_074,yes,13,3,10,31,8,8,7,51,11,18,0,0,0,True,False
social_and_safety,NO,True,NO,NO,C_03_041,no,16,3,11,31,8,8,7,54,11,19,0,0,0,True,False
social_and_safety,MAYBE,True,MAYBE,MAYBE,B_03_022,,14,4,11,0,0,0,7,21,4,11,0,1,0,False,False
social_and_safety,HELP,True,HELP,HELP,D_01_042,,12,4,11,0,0,0,7,19,4,11,1,1,0,False,False
needs_and_thought,WANT,True,WANT,WANT1|WANT2,C_03_013|E_01_025,,19,4,11,0,0,0,7,26,4,11,0,1,0,False,True
needs_and_thought,NEED,True,NEED,NEED,C_02_034,,15,3,11,0,0,0,7,22,3,11,0,2,0,False,False
needs_and_thought,LIKE,True,LIKE,LIKE,F_03_063,like,13,3,11,31,8,8,7,51,11,19,0,0,0,True,False
needs_and_thought,LOVE,True,LOVE,LOVE,G_01_068,,12,4,11,0,0,0,7,19,4,11,1,1,0,False,False
needs_and_thought,KNOW,True,KNOW,KNOW,C_01_048,,14,4,11,0,0,0,7,21,4,11,0,1,0,False,False
needs_and_thought,UNDERSTAND,True,UNDERSTAND,UNDERSTAND,C_01_006,,14,4,11,0,0,0,7,21,4,11,0,1,0,False,False
needs_and_thought,THINK,True,THINK,THINK,C_03_053,think,13,3,11,15,3,5,7,35,6,16,0,0,0,True,False
needs_and_thought,FEEL,True,FEEL,FEEL,C_02_001,,15,4,11,0,0,0,7,22,4,11,0,1,0,False,False
needs_and_thought,HAVE,False,,HAVE,B_03_057,have,14,4,11,31,8,8,0,45,12,19,0,0,0,True,False
actions_and_communication,GIVE,True,GIVE,GIVE,F_01_023,give,14,3,11,25,6,7,7,46,9,18,0,0,0,True,False
actions_and_communication,TAKE,True,TAKE,TAKE,G_01_093,,15,3,11,0,0,0,7,22,3,11,0,2,0,False,False
actions_and_communication,COME,True,COME,COME,C_03_074,,12,3,11,0,0,0,7,19,3,11,1,2,0,False,False
actions_and_communication,GO,True,GO,GO,C_03_056,go,14,3,11,23,7,6,7,44,10,17,0,0,0,True,False
actions_and_communication,STOP,True,STOP,STOP,D_01_010,,13,3,11,0,0,0,7,20,3,11,0,2,0,False,False
