canonical_label,citizen_raw_gloss,citizen_asl_lex_code,lexical_tier,clips,top1_hits,top5_hits,mean_true_probability,triage,training_approved
ANGRY,ANGRY,B_01_070,canonical_and_pinned_raw_text_equal,10,7,9,0.5151936173439026,model_consistent_manual_variant_review_required,False
ANSWER,ANSWER,E_03_065,canonical_and_pinned_raw_text_equal,14,5,12,0.2093197602807777,ambiguous_manual_variant_review_required,False
ASK,ASK,B_02_023,canonical_and_pinned_raw_text_equal,14,3,13,0.1590711093241615,ambiguous_manual_variant_review_required,False
BAD,BAD,B_02_082,canonical_and_pinned_raw_text_equal,14,13,14,0.7531225729201522,model_consistent_manual_variant_review_required,False
BIG,BIG,F_02_054,canonical_and_pinned_raw_text_equal,9,1,5,0.11727817527328928,ambiguous_manual_variant_review_required,False
CHILD,CHILD,F_03_101,canonical_and_pinned_raw_text_equal,14,8,9,0.37341753498185426,ambiguous_manual_variant_review_required,False
COLD,COLD,C_02_068,canonical_and_pinned_raw_text_equal,14,12,13,0.5173094495133098,model_consistent_manual_variant_review_required,False
COME,COME,C_03_074,canonical_and_pinned_raw_text_equal,14,0,0,0.004499299289558881,high_risk_manual_variant_review_required,False
DAY,DAY,C_01_044,canonical_and_pinned_raw_text_equal,14,12,12,0.7093401462770998,model_consistent_manual_variant_review_required,False
DIFFERENT,DIFFERENT,E_03_095,canonical_and_pinned_raw_text_equal,8,8,8,0.7591238729655743,model_consistent_manual_variant_review_required,False
EASY,EASY,D_01_070,canonical_and_pinned_raw_text_equal,11,10,11,0.6347854479470036,model_consistent_manual_variant_review_required,False
EXCITED,EXCITED,H_01_102,canonical_and_pinned_raw_text_equal,10,9,9,0.595964867155999,model_consistent_manual_variant_review_required,False
FAMILY,FAMILY,C_01_025,canonical_and_pinned_raw_text_equal,14,14,14,0.8942871647221702,model_consistent_manual_variant_review_required,False
FATHER,FATHER,B_01_077,canonical_and_pinned_raw_text_equal,14,13,14,0.6957672898258481,model_consistent_manual_variant_review_required,False
FEEL,FEEL,C_02_001,canonical_and_pinned_raw_text_equal,14,8,9,0.34267076567214516,ambiguous_manual_variant_review_required,False
FRIEND,FRIEND,D_03_010,canonical_and_pinned_raw_text_equal,14,7,13,0.34986132888921667,model_consistent_manual_variant_review_required,False
GIVE,GIVE,F_01_023,canonical_and_pinned_raw_text_equal,14,7,12,0.24924144158805056,model_consistent_manual_variant_review_required,False
GO,GO,C_03_056,canonical_and_pinned_raw_text_equal,14,3,13,0.20115296604178315,ambiguous_manual_variant_review_required,False
GOOD,GOOD,B_01_052,canonical_and_pinned_raw_text_equal,10,5,7,0.342940914304927,ambiguous_manual_variant_review_required,False
