canonical_label,citizen_raw_gloss,citizen_asl_lex_code,lexical_tier,clips,top1_hits,top5_hits,mean_true_probability,triage,training_approved
ANGRY,ANGRY,B_01_070,canonical_and_pinned_raw_text_equal,7,2,5,0.294126960914582,ambiguous_manual_variant_review_required,False
ANSWER,ANSWER,E_03_065,canonical_and_pinned_raw_text_equal,7,2,5,0.197638882290838,ambiguous_manual_variant_review_required,False
ASK,ASK,B_02_023,canonical_and_pinned_raw_text_equal,7,2,5,0.13177646643349103,ambiguous_manual_variant_review_required,False
BAD,BAD,B_02_082,canonical_and_pinned_raw_text_equal,7,5,7,0.40300628542900085,model_consistent_manual_variant_review_required,False
BIG,BIG,F_02_054,canonical_and_pinned_raw_text_equal,7,2,5,0.15880286708332797,ambiguous_manual_variant_review_required,False
CHILD,CHILD,F_03_101,canonical_and_pinned_raw_text_equal,7,5,5,0.5254394366805043,ambiguous_manual_variant_review_required,False
COLD,COLD,C_02_068,canonical_and_pinned_raw_text_equal,7,5,7,0.5075713986796992,model_consistent_manual_variant_review_required,False
COME,COME,C_03_074,canonical_and_pinned_raw_text_equal,7,0,1,0.00618200800298447,high_risk_manual_variant_review_required,False
DAY,DAY,C_01_044,canonical_and_pinned_raw_text_equal,7,6,7,0.7353534544152873,model_consistent_manual_variant_review_required,False
DIFFERENT,DIFFERENT,E_03_095,canonical_and_pinned_raw_text_equal,7,6,7,0.6310694217681885,model_consistent_manual_variant_review_required,False
DOCTOR,DOCTOR1,A_03_020,canonical_only_variant_review_required,7,3,4,0.19716392806731164,ambiguous_manual_variant_review_required,False
DRINK,DRINK1,B_02_012,canonical_only_variant_review_required,7,4,5,0.30914650378482683,ambiguous_manual_variant_review_required,False
EASY,EASY,D_01_070,canonical_and_pinned_raw_text_equal,7,6,7,0.6527316612856728,model_consistent_manual_variant_review_required,False
EAT,EAT1,B_02_002,canonical_only_variant_review_required,7,2,6,0.24335982570690767,ambiguous_manual_variant_review_required,False
EXCITED,EXCITED,H_01_102,canonical_and_pinned_raw_text_equal,7,7,7,0.6181472965649196,model_consistent_manual_variant_review_required,False
FAMILY,FAMILY,C_01_025,canonical_and_pinned_raw_text_equal,7,7,7,0.8074951086725507,model_consistent_manual_variant_review_required,False
FATHER,FATHER,B_01_077,canonical_and_pinned_raw_text_equal,7,3,7,0.38083332989897045,ambiguous_manual_variant_review_required,False
FEEL,FEEL,C_02_001,canonical_and_pinned_raw_text_equal,7,4,5,0.25340031819983516,ambiguous_manual_variant_review_required,False
FRIEND,FRIEND,D_03_010,canonical_and_pinned_raw_text_equal,7,1,4,0.24143491106640017,ambiguous_manual_variant_review_required,False
GIVE,GIVE,F_01_023,canonical_and_pinned_raw_text_equal,7,2,5,0.14067035358000016,ambiguous_manual_variant_review_required,False
GO,GO,C_03_056,canonical_and_pinned_raw_text_equal,7,0,7,0.10549056636435646,ambiguous_manual_variant_review_required,False
GOOD,GOOD,B_01_052,canonical_and_pinned_raw_text_equal,7,2,5,0.13264110115622835,ambiguous_manual_variant_review_required,False
GOODBYE,BYE,E_01_058,canonical_only_variant_review_required,7,0,1,0.02701597787173731,high_risk_manual_variant_review_required,False
HAPPY,HAPPY,C_03_078,canonical_and_pinned_raw_text_equal,7,1,5,0.1667568582509245,ambiguous_manual_variant_review_required,False
HEAR,HEAR2,J_02_006,canonical_only_variant_review_required,7,0,4,0.03709361439437738,ambiguous_manual_variant_review_required,False
HELLO,HELLO,D_02_055,canonical_and_pinned_raw_text_equal,7,3,7,0.2940661215356418,ambiguous_manual_variant_review_required,False
HELP,HELP,D_01_042,canonical_and_pinned_raw_text_equal,7,1,6,0.10779557696410588,ambiguous_manual_variant_review_required,False
HOSPITAL,HOSPITAL1,B_02_026,canonical_only_variant_review_required,7,3,6,0.3561144628162895,ambiguous_manual_variant_review_required,False
HOT,HOT,F_02_093,canonical_and_pinned_raw_text_equal,7,4,4,0.43338340327526176,ambiguous_manual_variant_review_required,False
HOW,HOW1,D_02_082,canonical_only_variant_review_required,7,2,6,0.2406231707760266,ambiguous_manual_variant_review_required,False
IMPORTANT,IMPORTANT,B_01_081,canonical_and_pinned_raw_text_equal,7,7,7,0.7784101111548287,model_consistent_manual_variant_review_required,False
KNOW,KNOW,C_01_048,canonical_and_pinned_raw_text_equal,7,5,7,0.4554336198738643,model_consistent_manual_variant_review_required,False
LANGUAGE,LANGUAGE,A_01_067,canonical_and_pinned_raw_text_equal,7,4,7,0.3680744894913265,model_consistent_manual_variant_review_required,False
LEARN,LEARN,B_01_042,canonical_and_pinned_raw_text_equal,7,5,7,0.34316808517490116,model_consistent_manual_variant_review_required,False
LESS,LESS,E_02_043,canonical_and_pinned_raw_text_equal,7,4,5,0.39093836701275514,ambiguous_manual_variant_review_required,False
LIKE,LIKE,F_03_063,canonical_and_pinned_raw_text_equal,7,3,7,0.36371820313589914,ambiguous_manual_variant_review_required,False
LOVE,LOVE,G_01_068,canonical_and_pinned_raw_text_equal,7,7,7,0.7900093580995288,model_consistent_manual_variant_review_required,False
MAKE,MAKE,C_01_032,canonical_and_pinned_raw_text_equal,7,4,5,0.42508634271299733,ambiguous_manual_variant_review_required,False
MAN,MAN,C_01_040,canonical_and_pinned_raw_text_equal,7,6,6,0.3743027159278946,model_consistent_manual_variant_review_required,False
MAYBE,MAYBE,B_03_022,canonical_and_pinned_raw_text_equal,7,4,6,0.395143898203969,model_consistent_manual_variant_review_required,False
MORE,MORE,B_03_032,canonical_and_pinned_raw_text_equal,7,6,7,0.6926616302558354,model_consistent_manual_variant_review_required,False
MORNING,MORNING,C_02_012,canonical_and_pinned_raw_text_equal,7,6,7,0.7445087576551097,model_consistent_manual_variant_review_required,False
MOTHER,MOTHER,B_02_008,canonical_and_pinned_raw_text_equal,7,4,7,0.37722549214959145,model_consistent_manual_variant_review_required,False
MY,MY,C_01_060,canonical_and_pinned_raw_text_equal,7,3,5,0.31817462102376987,ambiguous_manual_variant_review_required,False
NAME,NAME,D_01_021,canonical_and_pinned_raw_text_equal,7,6,7,0.7760869626488004,model_consistent_manual_variant_review_required,False
NEED,NEED,C_02_034,canonical_and_pinned_raw_text_equal,7,2,5,0.17387436860839703,ambiguous_manual_variant_review_required,False
NIGHT,NIGHT1,A_01_003,canonical_only_variant_review_required,7,7,7,0.6315678826400212,model_consistent_manual_variant_review_required,False
NO,NO,C_03_041,canonical_and_pinned_raw_text_equal,7,4,7,0.44032889923879076,model_consistent_manual_variant_review_required,False
NOW,NOW,C_03_062,canonical_and_pinned_raw_text_equal,7,5,6,0.5417116352556539,model_consistent_manual_variant_review_required,False
OUR,OUR,G_02_067,canonical_and_pinned_raw_text_equal,7,6,6,0.5931444512680173,model_consistent_manual_variant_review_required,False
PLEASE,PLEASE,B_02_007,canonical_and_pinned_raw_text_equal,7,7,7,0.7250708895070213,model_consistent_manual_variant_review_required,False
READ,READ,A_01_022,canonical_and_pinned_raw_text_equal,7,2,6,0.3315642386940973,ambiguous_manual_variant_review_required,False
READY,READY,F_03_042,canonical_and_pinned_raw_text_equal,7,4,7,0.3704390195863588,model_consistent_manual_variant_review_required,False
SAD,SAD,B_02_053,canonical_and_pinned_raw_text_equal,7,6,7,0.6550142105136599,model_consistent_manual_variant_review_required,False
SCHOOL,SCHOOL,C_03_089,canonical_and_pinned_raw_text_equal,7,4,5,0.3820913108730955,ambiguous_manual_variant_review_required,False
SEE,SEE,C_02_030,canonical_and_pinned_raw_text_equal,7,7,7,0.7859063233648028,model_consistent_manual_variant_review_required,False
SIGN,SIGN,E_03_050,canonical_and_pinned_raw_text_equal,7,1,1,0.1313696268480271,high_risk_manual_variant_review_required,False
SLEEP,SLEEP,B_03_037,canonical_and_pinned_raw_text_equal,7,4,7,0.3915845405842577,model_consistent_manual_variant_review_required,False
SMALL,SMALL,D_01_030,canonical_and_pinned_raw_text_equal,7,4,5,0.5118914758786559,ambiguous_manual_variant_review_required,False
SORRY,SORRY,C_01_020,canonical_and_pinned_raw_text_equal,7,6,7,0.6981128273265702,model_consistent_manual_variant_review_required,False
STOP,STOP,D_01_010,canonical_and_pinned_raw_text_equal,7,2,6,0.1553613838872739,ambiguous_manual_variant_review_required,False
TAKE,TAKE,G_01_093,canonical_and_pinned_raw_text_equal,7,0,2,0.017538884255502905,high_risk_manual_variant_review_required,False
TELL,TELL,C_02_013,canonical_and_pinned_raw_text_equal,7,7,7,0.7711353089128222,model_consistent_manual_variant_review_required,False
THANKYOU,THANKYOU,H_02_053,canonical_and_pinned_raw_text_equal,7,5,6,0.46330033615231514,model_consistent_manual_variant_review_required,False
THEY,THEY1,F_02_103,canonical_only_variant_review_required,7,3,3,0.24532155195317631,high_risk_manual_variant_review_required,False
THINK,THINK,C_03_053,canonical_and_pinned_raw_text_equal,7,5,7,0.5313019326754979,model_consistent_manual_variant_review_required,False
TIME,TIME,B_02_080,canonical_and_pinned_raw_text_equal,7,5,6,0.5179919909153666,model_consistent_manual_variant_review_required,False
TIRED,TIRED,D_02_050,canonical_and_pinned_raw_text_equal,7,6,7,0.6014441145317895,model_consistent_manual_variant_review_required,False
