gloss,text
PLEASE HELP ME I NEED COMPUTER FOR PART,"Please help me, I need the computer for the part."
NINE DAY,nine days.
TOMORROW MORNING I WANT GO ROAD READ SENTENCE,"Tomorrow morning, I want to go to the road and read the sentence."
NOW WE DRINK COFFEE,"Now, we are drinking some coffee."
AFTERNOON WOMAN WANT HOUSE,"In the afternoon, the woman wants the house."
AFTERNOON BOSS LOGIN INTERNET,"In the afternoon, the boss is logining the internet."
NOW I DRIVE_CAR BUS,"Now, I am driving the bus."
YESTERDAY FRIEND CALL YOU,"Yesterday, the friend called you."
ONE PEOPLE COME,One people are coming.
TOMORROW MAN FEEL CONFUSED,"Tomorrow, the man will feel confused."
I NOT KNOW COMPUTER,I do not know the computer.
YESTERDAY BABY UPLOAD DATA,"Yesterday, the baby uploaded the data."
MAN NOT UNDERSTAND COMPANY,The man does not understand the company.
NOW POLICE GET PASSWORD,"Now, the police are getting the password."
AFTERNOON WORKER FEEL SAD,"In the afternoon, the worker is feeling sad."
AFTERNOON FATHER BUY AGE,"In the afternoon, the father is buying the age."
NIGHT YOU FEEL WEAK,"At night, you are feeling weak."
TOMORROW FAMILY FEEL BUSY,"Tomorrow, the family will feel busy."
NAME B O B,My name is Bob.
FATHER NOT LIKE IDEA,The father does not like the idea.
MORNING TEAM FEEL SORRY,"In the morning, the team are feeling sorry."
WHY WE FEEL CONFUSED,Why is we feeling confused?
YESTERDAY BABY DRIVE_CAR BIKE,"Yesterday, the baby drove the bike."
STUDENT NOT SEE MEETING,The student does not see the meeting.
WE FEEL SICK YOU-KNOW,Are we feeling sick?
NOW FRIEND DRIVE_CAR TRAIN,"Now, the friend is driving the train."
NIGHT WE EAT_FOOD APPLE,"At night, we are eating some apple."
NIGHT YOU SLEEP SYSTEM,"At night, you are sleeping the system."
AFTERNOON BOSS MEET WOMAN,"In the afternoon, the boss is meeting the woman."
FOUR,Four.
AFTERNOON BROTHER STAND STORE,"In the afternoon, the brother is standing to the store."
AFTERNOON MAN FEEL NERVOUS,"In the afternoon, the man is feeling nervous."
PLEASE HELP ME I NEED SENTENCE FOR TIME,"Please help me, I need the sentence for the time."
TOMORROW MAN BORROW PART,"Tomorrow, the man will borrow the part."
AFTERNOON BABY DRIVE_CAR TRAIN,"In the afternoon, the baby is driving the train."
TOMORROW THEY EAT_FOOD FOOD,"Tomorrow, they will eat the food."
TOMORROW I FEEL NERVOUS,"Tomorrow, I will feel nervous."
AFTERNOON WE ANSWER MONEY,"In the afternoon, we are answering the money."
NIGHT CHILD FALL BANK,"At night, the child is falling to the bank."
DOCTOR NOT UNDERSTAND CAMERA,The doctor does not understand the camera.
MORNING WORKER DRIVE_CAR BIKE,"In the morning, the worker is driving the bike."
HE NOT UNDERSTAND LETTER,He does not understand the letter.
AFTERNOON BABY FIND THEY,"In the afternoon, the baby is finding them."
WORKER NOT KNOW LANGUAGE,The worker does not know the language.
MOTHER NOT HAVE LAPTOP,The mother does not have the laptop.
MOTHER NOT LIKE BANK,The mother does not like the bank.
MORNING TEACHER COME LIBRARY,"In the morning, the teacher is coming to the library."
AFTERNOON YOU RUN RESTAURANT,"In the afternoon, you are running to the restaurant."
AFTERNOON TEAM UPLOAD LAPTOP,"In the afternoon, the team are uploading the laptop."
MOTHER NOT UNDERSTAND PLACE,The mother does not understand the place.
AFTERNOON MOTHER DRIVE_CAR BIKE,"In the afternoon, the mother is driving the bike."
AFTERNOON WE STAND STORE,"In the afternoon, we are standing to the store."
HE LIKE CITY YOU-KNOW,Does he like the city?
HE NOT HAVE ROOM,He does not have the room.
TOMORROW MORNING I WANT GO COMPANY STUDY LANGUAGE,"Tomorrow morning, I want to go to the company and study the language."
NIGHT CHILD PUSH MODEL,"At night, the child is pushing the model."
TOMORROW TEAM DOWNLOAD DATA,"Tomorrow, the team will download the data."
MORNING BOSS ANSWER LANGUAGE,"In the morning, the boss is answering the language."
NOW SISTER REMEMBER QUESTION,"Now, the sister remembers the question."
NIGHT BROTHER FEEL WEAK,"At night, the brother is feeling weak."
SHE NOT LIKE LIBRARY,She does not like the library.
AFTERNOON BROTHER PLAY BANK,"In the afternoon, the brother plays the bank."
MAN NOT SEE MARKET,The man does not see the market.
YESTERDAY I GO RESTAURANT GET TRAIN COME HOME,"Yesterday, I went to the restaurant, got the train, and came home."
MORNING MOTHER RUN BANK,"In the morning, the mother is running to the bank."
AFTERNOON WE FEEL SCARED,"In the afternoon, we are feeling scared."
MORNING POLICE FEEL SORRY,"In the morning, the police are feeling sorry."
GROUP NOT HAVE DATA,The group do not have the data.
NOW MOTHER ANSWER SYSTEM,"Now, the mother is answering the system."
NOW WORKER INSTALL INTERNET,"Now, the worker is installing the internet."
YESTERDAY THEY GET TIME,"Yesterday, they got the time."
BABY NOT UNDERSTAND MARKET,The baby does not understand the market.
NOW FAMILY FEEL COLD,"Now, the family are feeling cold."
FATHER NOT HAVE SYSTEM,The father does not have the system.
NOW BABY FEEL HAPPY,"Now, the baby is feeling happy."
GROUP NOT LIKE SCHOOL,The group do not like the school.
YESTERDAY I GO COUNTRY GET SOLUTION COME HOME,"Yesterday, I went to the country, got the solution, and came home."
SISTER NOT HAVE LIBRARY,The sister does not have the library.
MORNING STUDENT FEEL WEAK,"In the morning, the student is feeling weak."
MOTHER NOT UNDERSTAND ROOM,The mother does not understand the room.
GROUP NOT NEED BODY,The group do not need the body.
NIGHT MOTHER HEAR PROGRAM,"At night, the mother is hearing the program."
NIGHT WOMAN FORGET BANK,"At night, the woman forgets the bank."
PLEASE HELP ME I NEED DESIGN FOR ENGLISH,"Please help me, I need the design for the english."
TOMORROW FAMILY FEEL PROUD,"Tomorrow, the family will feel proud."
WOMAN NOT WANT ROAD,The woman does not want the road.
FATHER NOT NEED MODEL,The father does not need the model.
I NOT UNDERSTAND ROOM,I do not understand the room.
FRIEND NOT WANT WORD,The friend does not want the word.
YESTERDAY SHE SAVE VIDEO,"Yesterday, she saved the video."
AFTERNOON POLICE DELETE PHONE,"In the afternoon, the police are deleting the phone."
MORNING DOCTOR FEEL PROUD,"In the morning, the doctor is feeling proud."
NIGHT MOTHER PRACTICE MEETING,"At night, the mother is practicing the meeting."
AFTERNOON CHILD MAKE_CREATE WORD,"In the afternoon, the child is making the word."
AFTERNOON STUDENT DRINK WATER,"In the afternoon, the student is drinking some water."
TEACHER NOT WANT LANGUAGE,The teacher does not want the language.
FATHER NOT NEED BANK,The father does not need the bank.
YESTERDAY HE DEVELOP SENTENCE,"Yesterday, he developed the sentence."
NOW STUDENT CONFUSE BAG,"Now, the student confuses the bag."
MORNING BROTHER FEEL NERVOUS,"In the morning, the brother is feeling nervous."
HE FEEL WEAK YOU-KNOW,Is he feeling weak?
NIGHT I EAT_FOOD APPLE,"At night, I am eating some apple."
TOMORROW MORNING I WANT GO PARK LEARN WORD,"Tomorrow morning, I want to go to the park and learn the word."
HOW-MANY DESIGN THEY HAVE,How many designs does they have?
TOMORROW DOCTOR FEEL COLD,"Tomorrow, the doctor will feel cold."
BROTHER NOT WANT MARKET,The brother does not want the market.
NOW GROUP FEEL HOT,"Now, the group are feeling hot."
SHE NOT SEE TIME,She does not see the time.
YESTERDAY I GO COUNTRY BUY LANGUAGE COME HOME,"Yesterday, I went to the country, bought the language, and came home."
TOMORROW FAMILY UNDERSTAND PROJECT,"Tomorrow, the family will understand the project."
MORNING FRIEND TRY LETTER,"In the morning, the friend trys the letter."
MORNING THEY MEET GROUP,"In the morning, they are meeting the group."
HE HAVE LESSON YOU-KNOW,Does he have the lesson?
TOMORROW TEAM WANT SCHOOL,"Tomorrow, the team will want the school."
YESTERDAY I GO CITY FIND AGE COME HOME,"Yesterday, I went to the city, found the age, and came home."
YOU NOT HAVE WORD,You do not have the word.
YESTERDAY MOTHER FIX VIDEO,"Yesterday, the mother fixed the video."
YESTERDAY I GO ROAD BUY LANGUAGE COME HOME,"Yesterday, I went to the road, bought the language, and came home."
NOW MOTHER FEEL HAPPY,"Now, the mother is feeling happy."
GROUP NOT WANT CODE,The group do not want the code.
SISTER NOT LIKE IDEA,The sister does not like the idea.
TEAM NOT UNDERSTAND STORE,The team do not understand the store.
TOMORROW HE HELP MAN,"Tomorrow, he will help the man."
NIGHT MOTHER FEEL SAD,"At night, the mother is feeling sad."
TOMORROW BROTHER DRINK MEDICINE,"Tomorrow, the brother will drink some medicine."
TOMORROW TEAM USE PHONE,"Tomorrow, the team will use the phone."
NOW MAN MISS QUESTION,"Now, the man misses the question."
MORNING FAMILY DRIVE_CAR BUS,"In the morning, the family are driving the bus."
I NEED FIVE,I need five.
YESTERDAY MAN GIVE EAT_FOOD,"Yesterday, the man gave some food."
TOMORROW BABY READ BAG,"Tomorrow, the baby will read the bag."
NOW CHILD THINK NAME,"Now, the child thinks the name."
TWO DAY,two days.
SEVEN WEEK,seven weeks.
PLEASE HELP ME I NEED APP FOR LETTER,"Please help me, I need the app for the letter."
ZERO MONTH,zero months.
BABY NOT LIKE COMPANY,The baby does not like the company.
I GO ROOM YOU-KNOW,Am I going to the room?
NIGHT I USE TIME,"At night, I am using the time."
YESTERDAY FATHER TELL LANGUAGE,"Yesterday, the father told the language."
AFTERNOON FAMILY CLOSE COMPUTER,"In the afternoon, the family are closing the computer."
TOMORROW BABY DEVELOP VIDEO,"Tomorrow, the baby will develop the video."
YESTERDAY WE LEARN PROBLEM,"Yesterday, we learned the problem."
MORNING HE USE LANGUAGE,"In the morning, he is using the language."
TOMORROW BABY PLAY SOLUTION,"Tomorrow, the baby will play the solution."
YOU LIKE HOSPITAL YOU-KNOW,Do you like the hospital?
TOMORROW FRIEND FEEL ANGRY,"Tomorrow, the friend will feel angry."
NIGHT MOTHER HELP WOMAN,"At night, the mother is helping the woman."
YESTERDAY POLICE EXPLAIN I,"Yesterday, the police explained me."
TEAM NOT WANT HOUSE,The team do not want the house.
AFTERNOON BOSS DRIVE_CAR BIKE,"In the afternoon, the boss is driving the bike."
MORNING BABY HOPE PART,"In the morning, the baby hopes the part."
PLEASE HELP ME I NEED SYSTEM FOR AGE,"Please help me, I need the system for the age."
WOMAN NOT HAVE OFFICE,The woman does not have the office.
NIGHT FATHER THROW MEETING,"At night, the father is throwing the meeting."
NOW FAMILY FIND WOMAN,"Now, the family are finding the woman."
MORNING STUDENT DEVELOP LANGUAGE,"In the morning, the student is developing the language."
YESTERDAY TEAM FEEL SICK,"Yesterday, the team felt sick."
FAMILY NOT SEE PROJECT,The family do not see the project.
TOMORROW FAMILY DRIVE_CAR TRAIN,"Tomorrow, the family will drive the train."
MORNING MAN FEEL BORED,"In the morning, the man is feeling bored."
SHE NOT UNDERSTAND PLACE,She does not understand the place.
GROUP NOT SEE INTERNET,The group do not see the internet.
AFTERNOON MAN FEEL COLD,"In the afternoon, the man is feeling cold."
NOW WE THINK MONEY,"Now, we think the money."
YESTERDAY TEAM INSTALL VIDEO,"Yesterday, the team installed the video."
YOU NOT SEE SCHOOL,You do not see the school.
TOMORROW POLICE FEEL ANGRY,"Tomorrow, the police will feel angry."
WHY YOU FEEL NERVOUS,Why are you feeling nervous?
MORNING HE DELETE SYSTEM,"In the morning, he is deleting the system."
YESTERDAY WORKER WRITE NAME,"Yesterday, the worker wrote the name."
AFTERNOON WOMAN FEEL READY,"In the afternoon, the woman is feeling ready."
YESTERDAY BABY WALK HOSPITAL,"Yesterday, the baby walked to the hospital."
I NOT SEE OFFICE,I do not see the office.
YESTERDAY I GO PARK SEE MEETING COME HOME,"Yesterday, I went to the park, saw the meeting, and came home."
NOW I CONFUSE DESIGN,"Now, I confuse the design."
MOTHER NOT SEE DATA,The mother does not see the data.
SHE NOT NEED ENGLISH,She does not need the english.
NOW FAMILY FEEL WEAK,"Now, the family are feeling weak."
I WANT WORD YOU-KNOW,Do I want the word?
TOMORROW BROTHER CONFUSE ROOM,"Tomorrow, the brother will confuse the room."
YESTERDAY DOCTOR FIX LESSON,"Yesterday, the doctor fixed the lesson."
AFTERNOON CHILD SHOW WE,"In the afternoon, the child is showing us."
TOMORROW MAN SEARCH DATA,"Tomorrow, the man will search the data."
TOMORROW FAMILY FEEL READY,"Tomorrow, the family will feel ready."
IDEA WHERE,Where is the idea?
PLEASE HELP ME I NEED GRADE FOR LANGUAGE,"Please help me, I need the grade for the language."
NIGHT POLICE CALL FAMILY,"At night, the police are calling the family."
YESTERDAY STUDENT DRINK WATER,"Yesterday, the student drank some water."
SEVENTEEN MONTH,seventeen months.
I NOT NEED SOLUTION,I do not need the solution.
YESTERDAY I GO LIBRARY SEE AGE COME HOME,"Yesterday, I went to the library, saw the age, and came home."
YESTERDAY I GO BANK SEE ENGLISH COME HOME,"Yesterday, I went to the bank, saw the english, and came home."
GROUP NOT SEE SIGN,The group do not see the sign.
BOSS NOT UNDERSTAND COMPUTER,The boss does not understand the computer.
TOMORROW YOU DELETE PROGRAM,"Tomorrow, you will delete the program."
TOMORROW HE COME PARK,"Tomorrow, he will come to the park."
POLICE NOT KNOW QUESTION,The police do not know the question.
TOMORROW CHILD FEEL HOT,"Tomorrow, the child will feel hot."
PLEASE HELP ME I NEED VIDEO FOR LESSON,"Please help me, I need the video for the lesson."
FAMILY NOT LIKE SYSTEM,The family do not like the system.
MORNING SHE PRACTICE SYSTEM,"In the morning, she is practicing the system."
MORNING FATHER DRIVE_CAR TRAIN,"In the morning, the father is driving the train."
NOW BOSS WIN ENGLISH,"Now, the boss wins the english."
MAN NOT SEE AGE,The man does not see the age.
NIGHT FAMILY MOVE ROOM,"At night, the family are moving to the room."
CHILD NOT KNOW DESIGN,The child does not know the design.
WE NOT WANT PROBLEM,We do not want the problem.
YESTERDAY WE CONFUSE RESTAURANT,"Yesterday, we confused the restaurant."
YESTERDAY BROTHER DRIVE_CAR BIKE,"Yesterday, the brother drove the bike."
YESTERDAY BABY LEARN EXAM,"Yesterday, the baby learned the exam."
GROUP NOT LIKE PROJECT,The group do not like the project.
VOICE LOW,The voice is low.
WOMAN NOT NEED SOLUTION,The woman does not need the solution.
TOMORROW DOCTOR EAT_FOOD FOOD,"Tomorrow, the doctor will eat the food."
TOMORROW THEY GO PLACE,"Tomorrow, they will go to the place."
TOMORROW MAN OPEN PHONE,"Tomorrow, the man will open the phone."
I NOT KNOW BANK,I do not know the bank.
AFTERNOON SHE THROW BOOK,"In the afternoon, she is throwing the book."
NOW I WAKE UP EAT FOOD GO STORE,"Today, I woke up, ate the food, and went to the store."
TOMORROW DOCTOR DRIVE_CAR DRIVE_CAR,"Tomorrow, the doctor will drive the drive_car."
YESTERDAY MOTHER DRINK COFFEE,"Yesterday, the mother drank some coffee."
NOW MOTHER DRINK MEDICINE,"Now, the mother is drinking some medicine."
I LIKE PLACE YOU-KNOW,Do I like the place?
THEY NOT LIKE BOOK,They do not like the book.
YOU FEEL BORED YOU-KNOW,Are you feeling bored?
YESTERDAY BOSS BRING CODE,"Yesterday, the boss brought the code."
NIGHT FATHER FEEL READY,"At night, the father is feeling ready."
YESTERDAY FAMILY FIX LETTER,"Yesterday, the family fixed the letter."
AFTERNOON BABY FEEL TIRED,"In the afternoon, the baby is feeling tired."
WORKER NOT SEE APP,The worker does not see the app.
MORNING HE DELETE DATA,"In the morning, he is deleting the data."
STUDENT NOT HAVE DESIGN,The student does not have the design.
TOMORROW WE SEARCH CAMERA,"Tomorrow, we will search the camera."
PLEASE HELP ME I NEED LESSON FOR AGE,"Please help me, I need the lesson for the age."
TEACHER NOT UNDERSTAND PHONE,The teacher does not understand the phone.
NOW POLICE RETURN BANK,"Now, the police are returning to the bank."
GROUP NOT KNOW MODEL,The group do not know the model.
STUDENT NOT SEE BANK,The student does not see the bank.
AFTERNOON MOTHER FEEL COLD,"In the afternoon, the mother is feeling cold."
YESTERDAY HE FEEL HAPPY,"Yesterday, he felt happy."
YESTERDAY I GO MARKET FIND MEDICINE COME HOME,"Yesterday, I went to the market, found some medicine, and came home."
HOW-MANY APP WE HAVE,How many apps does we have?
TOMORROW YOU PRACTICE MONEY,"Tomorrow, you will practice the money."
NOW FAMILY ANSWER PHONE,"Now, the family are answering the phone."
NOW WE SELL MEDICINE,"Now, we are selling some medicine."
NOW DOCTOR CONFUSE SCHOOL,"Now, the doctor confuses the school."
HE NOT KNOW AGE,He does not know the age.
YOU NOT KNOW BODY,You do not know the body.
TOMORROW MORNING I WANT GO MARKET STUDY LETTER,"Tomorrow morning, I want to go to the market and study the letter."
TOMORROW SHE MAKE_CREATE SYSTEM,"Tomorrow, she will make the system."
NOW BOSS UPLOAD INTERNET,"Now, the boss is uploading the internet."
PLEASE HELP ME I NEED LANGUAGE FOR TIME,"Please help me, I need the language for the time."
NIGHT WOMAN FEEL SORRY,"At night, the woman is feeling sorry."
I HAVE TWELVE BOOK,I have twelve books.
HOW-MANY PHONE I HAVE,How many phones do I have?
YESTERDAY HE FEEL BUSY,"Yesterday, he felt busy."
AFTERNOON FATHER FEEL TIRED,"In the afternoon, the father is feeling tired."
PLEASE HELP ME I NEED KEY FOR LETTER,"Please help me, I need the key for the letter."
CHILD NOT HAVE APP,The child does not have the app.
NOW YOU MEET BOSS,"Now, you are meeting the boss."
TOMORROW MORNING I WANT GO PARK READ SENTENCE,"Tomorrow morning, I want to go to the park and read the sentence."
TOMORROW SHE CONFUSE HOSPITAL,"Tomorrow, she will confuse the hospital."
SHE LIKE TIME YOU-KNOW,Does she like the time?
NIGHT BABY SAY PART,"At night, the baby is saying the part."
YESTERDAY HE RETURN BANK,"Yesterday, he returned to the bank."
HE WANT AGE YOU-KNOW,Does he want the age?
YESTERDAY I GO PARK SEE MEDICINE COME HOME,"Yesterday, I went to the park, saw some medicine, and came home."
YESTERDAY WORKER DOWNLOAD PROGRAM,"Yesterday, the worker downloaded the program."
YESTERDAY MOTHER EXPLAIN SISTER,"Yesterday, the mother explained the sister."
MORNING SISTER MEET STUDENT,"In the morning, the sister is meeting the student."
FRIEND NOT LIKE CODE,The friend does not like the code.
STUDENT NOT UNDERSTAND APP,The student does not understand the app.
MORNING DOCTOR FEEL TIRED,"In the morning, the doctor is feeling tired."
I LIKE QUESTION YOU-KNOW,Do I like the question?
YESTERDAY I GO ROAD BUY PROBLEM COME HOME,"Yesterday, I went to the road, bought the problem, and came home."
NOW TEACHER CLIMB MARKET,"Now, the teacher is climbing to the market."
NIGHT FRIEND DRIVE_CAR DRIVE_CAR,"At night, the friend is driving the drive_car."
